group	marker	position
1A	Cluster_2169|Contig2|likelySeq@506	60.9555555555556
1A	Cluster_4873|Contig1|original@960	61.6230769230769
1A	Cluster_6152|Contig1|original@50	61.6230769230769
1A	Cluster_9602|Contig2|complementarySeq@1685	61.7
1A	Cluster_9602|Contig2|likelySeq@1685	61.7
1A	Cluster_9208|Contig2|original@1873	63.3
1A	Cluster_4507|Contig2|original@456	63.8857142857143
1A	Cluster_369|Contig2|original@4554	63.8857142857143
1A	Cluster_4986|Contig2|likelySeq@2279	65
1A	Cluster_10236|Contig2|original@91	65.1894736842105
1A	Cluster_11776|Contig2|original@546	66
1A	Cluster_1291|Contig1|original@130	66
1A	Cluster_1355|Contig1|original@277	66
1A	Cluster_26803|Contig1|original@83	66
1A	Cluster_3015|Contig3|original@430	66
1A	Cluster_4344|Contig1|original@458	66
1A	Cluster_6191|Contig1|original@675	66
1A	Cluster_6238|Contig1|complementarySeq@1015	66
1A	Cluster_8155|Contig2|original@1934	66
1A	Cluster_815|Contig3|original@1157	66
1A	Cluster_9801|Contig3|original@638	66
1A	Cluster_6191|Contig4|original@455	66
1A	Cluster_3881|Contig3|original@168	66
1A	Cluster_6650|Contig3|original@2276	66
1A	Cluster_11769|Contig2|original@311	66
1A	Cluster_1553|Contig2|original@306	66
1A	Cluster_17661|Contig2|original@391	66
1A	Cluster_3015|Contig3|original@376	66
1A	Cluster_31|Contig3|complementarySeq@272	66
1A	Cluster_31|Contig5|likelySeq@572	66
1A	Cluster_4399|Contig4|complementarySeq@293	66.2
1A	cluster_singlet|EPO_076_16661512463640555557+,...,36999+|complementarySeq@282	66.5921052631579
1A	Cluster_9208|Contig5|original@1862	66.925
1A	Cluster_2519|Contig1|original@801	67.15
1A	Cluster_4893|Contig1|complementarySeq@160	67.15
1A	Cluster_5224|Contig1|likelySeq@1433	67.5
1A	Cluster_1229|Contig10|likelySeq@1670	67.9
1A	Cluster_1282|Contig1|likelySeq@213	67.9
1A	Cluster_20069|Contig1|original@574	67.9
1A	Cluster_3568|Contig2|original@237	67.9
1A	Cluster_5779|Contig2|original@360	67.9
1A	Cluster_10031|Contig1|original@724	68.3
1A	Cluster_1023|Contig2|original@244	68.3
1A	Cluster_11438|Contig1|original@915	68.3
1A	Cluster_11613|Contig2|complementarySeq@252	68.3
1A	Cluster_16874|Contig1|original@424	68.3
1A	Cluster_2497|Contig2|original@94	68.3
1A	Cluster_2827|Contig3|complementarySeq@1859	68.3
1A	Cluster_3694|Contig4|original@492	68.3
1A	Cluster_3982|Contig1|complementarySeq@265	68.3
1A	Cluster_452|Contig1|complementarySeq@847	68.3
1A	Cluster_771|Contig2|original@787	68.3
1A	Cluster_8450|Contig1|likelySeq@420	68.3
1A	Cluster_8636|Contig2|original@659	68.3
1A	Cluster_8754|Contig2|likelySeq@136	68.3
1A	Cluster_890|Contig4|original@1273	68.3
1A	Cluster_9432|Contig1|complementarySeq@1073	68.3
1A	Cluster_9893|Contig1|complementarySeq@343	68.3
1A	Cluster_688|Contig1|complementarySeq@579	68.4448275862069
1A	Cluster_2260|Contig2|original@296	68.458064516129
1A	Cluster_4253|Contig1|original@5991	68.6571428571429
1A	Cluster_15331|Contig1|original@469	68.7
1A	Cluster_5779|Contig1|original@1093	68.7676470588235
1A	Cluster_7614|Contig1|complementarySeq@475	68.8896551724138
1A	Cluster_4296|Contig1|original@277	69.06
1A	Cluster_13450|Contig1|original@427	69.1352941176471
1A	Cluster_369|Contig7|original@1116	69.3228571428571
1A	Cluster_1622|Contig2|original@1252	69.3548387096774
1A	Cluster_10023|Contig1|likelySeq@191	69.5035714285714
1A	Cluster_5679|Contig2|original@447	69.5035714285714
1A	Cluster_10023|Contig1|complementarySeq@191	69.5035714285714
1A	Cluster_6972|Contig1|original@215	69.5296296296296
1A	Cluster_771|Contig1|original@4399	69.5296296296296
1A	Cluster_6397|Contig2|complementarySeq@1039	69.5965517241379
1A	Cluster_8789|Contig1|original@1631	69.6416666666667
1A	Cluster_3611|Contig2|complementarySeq@143	69.703125
1A	Cluster_4086|Contig1|complementarySeq@1531	69.703125
1A	Cluster_4296|Contig3|original@622	69.703125
1A	Cluster_4296|Contig4|complementarySeq@995	69.703125
1A	Cluster_5916|Contig3|original@602	69.703125
1A	Cluster_5948|Contig1|likelySeq@1090	69.703125
1A	Cluster_6320|Contig1|original@614	69.703125
1A	Cluster_6320|Contig2|original@1550	69.703125
1A	Cluster_771|Contig2|original@941	69.703125
1A	Cluster_8202|Contig1|complementarySeq@1509	69.703125
1A	Cluster_1023|Contig2|original@157	69.703125
1A	Cluster_1229|Contig3|likelySeq@1169	69.703125
1A	Cluster_12678|Contig1|complementarySeq@1936	69.703125
1A	Cluster_12678|Contig1|complementarySeq@2210	69.703125
1A	Cluster_21684|Contig1|original@489	69.703125
1A	Cluster_2182|Contig4|likelySeq@1831	69.703125
1A	Cluster_2719|Contig16|original@1118	69.703125
1A	Cluster_2935|Contig1|complementarySeq@1374	69.703125
1A	Cluster_3095|Contig1|original@877	69.703125
1A	Cluster_5853|Contig2|original@530	69.7352941176471
1A	Cluster_6397|Contig2|likelySeq@1039	69.7787878787879
1A	Cluster_1622|Contig4|original@1257	69.7787878787879
1A	Cluster_6423|Contig1|likelySeq@1055	69.7787878787879
1A	Cluster_746|Contig1|original@1488	69.7787878787879
1A	Cluster_10350|Contig1|likelySeq@1018	69.7787878787879
1A	Cluster_1792|Contig1|original@157	69.7787878787879
1A	Cluster_19033|Contig1|original@240	72.2
1A	Cluster_4253|Contig14|original@2128	72.2
1A	Cluster_8215|Contig1|original@142	72.2
1A	Cluster_4370|Contig1|complementarySeq@1155	72.2375
1A	Cluster_2036|Contig1|complementarySeq@994	73.5
1A	Cluster_8215|Contig1|original@308	73.82
1A	Cluster_1977|Contig2|original@438	73.9
1A	Cluster_1884|Contig1|complementarySeq@666	75.4
1A	Cluster_2260|Contig6|original@3704	76.5
1A	Cluster_7691|Contig1|complementarySeq@605	77.3
1A	Cluster_9690|Contig1|likelySeq@589	77.3
1A	Cluster_5844|Contig3|original@293	88.2
1A	Cluster_4353|Contig4|original@287	88.2
1A	Cluster_3065|Contig1|original@85	88.2
1A	Cluster_3065|Contig2|complementarySeq@576	88.2
1A	Cluster_1750|Contig1|complementarySeq@697	91.6
1A	Cluster_2765|Contig1|original@1321	91.6
1A	Cluster_2765|Contig2|original@585	91.6
1A	Cluster_4776|Contig1|original@180	91.6
1A	Cluster_9846|Contig2|original@216	91.68
1A	Cluster_305|Contig1|complementarySeq@142	91.68
1A	Cluster_9846|Contig3|original@790	92
1A	Cluster_1227|Contig1|original@243	93.7
1A	Cluster_4152|Contig1|original@2537	93.95
1A	Cluster_18789|Contig2|original@144	93.95
1A	Cluster_4607|Contig2|original@113	94.2
1A	Cluster_7589|Contig1|likelySeq@330	101.1
1A	Cluster_1271|Contig3|original@69	102.5
1A	Cluster_24121|Contig1|original@126	103
1A	Cluster_4129|Contig4|original@1849	103.2
1A	Cluster_424|Contig5|original@4018	103.3
1A	Cluster_10416|Contig1|original@242	103.3
1A	Cluster_3471|Contig10|original@231	103.3
1A	Cluster_10416|Contig1|original@369	103.4
1A	Cluster_5372|Contig2|original@234	103.4
1A	Cluster_9194|Contig8|original@191	103.4
1A	Cluster_11827|Contig3|original@152	114.3
1A	Cluster_2779|Contig1|likelySeq@1167	114.3
1A	Cluster_2955|Contig6|original@3865	114.3
1A	Cluster_15900|Contig1|complementarySeq@312	115.9
1A	Cluster_5798|Contig1|complementarySeq@1276	115.9
1A	Cluster_5798|Contig1|likelySeq@1369	115.9
1A	Cluster_16982|Contig4|original@562	116.2
1A	Cluster_9466|Contig4|original@927	116.2
1A	Cluster_1027|Contig1|complementarySeq@1709	116.2
1A	Cluster_19806|Contig1|original@351	118.1
1A	Cluster_4197|Contig1|likelySeq@1039	118.1
1A	Cluster_5483|Contig1|complementarySeq@801	118.1
1A	Cluster_8898|Contig3|original@574	118.1
1A	Cluster_5038|Contig1|original@260	118.1
1A	Traes_1AL_0C964B45F@417	118.8
1A	Cluster_16707|Contig1|likelySeq@830	121.4
1A	Cluster_10012|Contig5|original@250	121.4
1A	Cluster_10012|Contig14|original@762	121.4
1A	Cluster_11794|Contig1|complementarySeq@1025	121.4
1A	Cluster_16707|Contig1|likelySeq@316	121.4
1A	Cluster_3118|Contig1|complementarySeq@257	121.4
1A	Cluster_8470|Contig1|complementarySeq@95	122.2
1A	Cluster_705|Contig3|original@419	122.2
1A	Cluster_705|Contig1|original@1990	122.2
1A	Cluster_236|Contig2|complementarySeq@204	122.35
1A	Cluster_33723|Contig1|original@243	122.8
1A	Cluster_12819|Contig1|original@414	123.3
1A	Cluster_8335|Contig2|original@187	123.3
1A	Cluster_14|Contig2207|complementarySeq@361	123.3
1A	Cluster_14|Contig2207|complementarySeq@397	123.3
1A	Cluster_405|Contig1|original@726	123.75
1A	Cluster_8969|Contig1|complementarySeq@460	124.2
1A	Cluster_3896|Contig1|likelySeq@795	124.2
1A	Cluster_10012|Contig14|original@963	124.2
1A	Cluster_1488|Contig3|original@1248	127.9
1A	Cluster_1488|Contig4|original@978	127.9
1A	Cluster_16987|Contig1|likelySeq@372	128.7
1A	Cluster_9889|Contig2|original@227	128.7
1A	Cluster_15568|Contig1|original@418	139.7
1A	Cluster_5813|Contig1|original@794	139.7
1A	Cluster_1455|Contig9|original@2341	140.1
1A	Cluster_1455|Contig3|original@2365	140.1
1A	Cluster_1455|Contig1|original@2368	140.1
1A	Cluster_5813|Contig2|original@343	140.1
1A	Cluster_6542|Contig2|original@355	140.1
1A	Cluster_66|Contig11|original@261	140.1
1A	Cluster_1455|Contig3|original@976	140.1
1A	Cluster_1455|Contig6|original@2353	140.1
1A	Cluster_17765|Contig1|original@232	140.1
1A	Cluster_1827|Contig2|original@794	140.1
1A	Cluster_3807|Contig1|original@921	140.9
1A	Cluster_1181|Contig4|original@836	144.9
1A	Cluster_3963|Contig1|likelySeq@206	147.2
1A	Cluster_10392|Contig1|original@552	149.9
1A	Cluster_10421|Contig1|complementarySeq@1450	154.7
1A	Cluster_10421|Contig1|likelySeq@1700	154.7
1A	Cluster_6985|Contig2|original@596	159.8
1A	Cluster_5285|Contig3|original@1389	160.9
1A	Cluster_5461|Contig3|original@1961	161.9
1A	cluster_singlet|EPO_093_Contig3111|original@574	163.32
1A	Cluster_6727|Contig2|original@248	163.32
1A	Cluster_6985|Contig2|original@422	163.32
1A	Cluster_621|Contig3|original@1376	165.8
1A	Cluster_637|Contig2|original@1487	166.7
1A	Cluster_1657|Contig3|original@834	166.7
1A	Cluster_12142|Contig1|original@1904	167
1A	Cluster_13259|Contig1|original@425	167
1A	Cluster_13259|Contig4|original@1289	167
1A	Cluster_2726|Contig3|original@186	167
1A	Cluster_7535|Contig1|original@1613	167
1A	Cluster_4956|Contig2|original@1317	167
1A	Cluster_5089|Contig1|original@1264	173
1A	Cluster_5089|Contig1|original@485	173.8
1A	Cluster_6680|Contig3|original@343	173.8
1A	Cluster_4041|Contig1|original@330	174.2
1A	Cluster_455|Contig4|original@1346	174.2
1A	Cluster_5040|Contig1|original@1437	174.2
1A	Cluster_485|Contig2|original@342	174.2
1B	Cluster_65|Contig1|original@152	4.20000000000002
1B	Cluster_9156|Contig2|original@396	4.20000000000002
1B	Cluster_65|Contig2|original@983	4.20000000000002
1B	Cluster_9156|Contig1|original@1264	4.20000000000002
1B	Cluster_1213|Contig2|original@2437	8.90000000000001
1B	Cluster_1213|Contig3|original@101	9.30000000000001
1B	Cluster_19130|Contig1|original@438	9.30000000000001
1B	Cluster_1910|Contig2|original@481	9.70000000000002
1B	Cluster_10672|Contig2|original@1415	10.1
1B	Cluster_3434|Contig3|original@138	10.1
1B	Cluster_14274|Contig2|original@405	11
1B	Cluster_2916|Contig4|original@933	11.7
1B	Cluster_3434|Contig2|likelySeq@396	11.7
1B	Cluster_8122|Contig1|original@338	13.3
1B	Cluster_774|Contig1|original@269	15.3
1B	Cluster_9978|Contig1|original@319	17.1
1B	Cluster_3509|Contig1|complementarySeq@291	27.2
1B	Cluster_5602|Contig1|original@590	32.7
1B	Cluster_5602|Contig1|original@677	32.7
1B	Cluster_5602|Contig1|original@1030	32.7
1B	Cluster_7175|Contig3|original@416	35.5
1B	Cluster_7175|Contig7|original@533	35.5
1B	Cluster_4399|Contig2|complementarySeq@359	35.5
1B	Cluster_7175|Contig5|original@604	35.5
1B	Cluster_31|Contig4|original@503	35.5
1B	Cluster_1688|Contig3|original@2076	35.8
1B	Cluster_1688|Contig4|original@993	36.2
1B	Cluster_13489|Contig1|likelySeq@455	36.2
1B	Cluster_1688|Contig1|complementarySeq@1074	36.2
1B	Cluster_1688|Contig4|original@990	36.2
1B	Cluster_5827|Contig1|original@2245	36.6
1B	Cluster_7175|Contig6|original@604	41.1333333333333
1B	Cluster_13329|Contig1|likelySeq@1212	42.7
1B	Cluster_12052|Contig13|original@1695	42.7
1B	Cluster_2971|Contig2|original@302	47
1B	Cluster_11149|Contig1|complementarySeq@608	47.4
1B	Cluster_12609|Contig2|complementarySeq@2100	47.4
1B	Cluster_15836|Contig2|original@581	47.4
1B	Cluster_16489|Contig1|original@327	47.4
1B	Cluster_2404|Contig1|original@470	47.4
1B	Cluster_3109|Contig2|complementarySeq@779	47.4
1B	Cluster_6152|Contig2|original@277	47.4
1B	Cluster_9379|Contig1|original@187	47.4
1B	Cluster_11723|Contig2|likelySeq@403	47.4
1B	Cluster_2464|Contig1|complementarySeq@1533	47.4
1B	Cluster_10991|Contig4|original@234	47.8
1B	Cluster_24314|Contig1|original@675	47.8
1B	Cluster_25923|Contig3|original@792	48.2
1B	Cluster_7538|Contig4|complementarySeq@551	49.24
1B	Cluster_10352|Contig1|likelySeq@106	49.3
1B	Cluster_1187|Contig1|likelySeq@987	49.3
1B	Cluster_35727|Contig1|original@285	49.3
1B	Cluster_9276|Contig2|original@194	49.3
1B	Cluster_9735|Contig2|original@990	49.3
1B	Cluster_5833|Contig6|complementarySeq@170	49.3
1B	Cluster_5833|Contig6|likelySeq@136	49.3
1B	Cluster_10488|Contig3|original@716	49.3
1B	Cluster_7538|Contig3|complementarySeq@494	49.5666666666667
1B	Cluster_7436|Contig1|original@251	49.5666666666667
1B	Cluster_9574|Contig2|original@847	50.1714285714286
1B	Cluster_2347|Contig1|original@221	50.1764705882353
1B	Cluster_4938|Contig1|original@3172	50.18
1B	Cluster_14648|Contig1|likelySeq@2214	50.18
1B	Cluster_3666|Contig4|original@1227	50.2045454545455
1B	Cluster_3720|Contig1|complementarySeq@931	50.2045454545455
1B	Cluster_4811|Contig2|original@3275	50.2045454545455
1B	Cluster_4877|Contig2|original@1098	50.2045454545455
1B	Cluster_4877|Contig3|original@768	50.2045454545455
1B	Cluster_4877|Contig4|original@1006	50.2045454545455
1B	Cluster_7417|Contig2|complementarySeq@525	50.2045454545455
1B	Cluster_7643|Contig3|original@2499	50.2045454545455
1B	Cluster_8986|Contig1|original@247	50.2045454545455
1B	Cluster_9770|Contig3|likelySeq@971	50.2045454545455
1B	Cluster_12609|Contig2|likelySeq@1057	50.2045454545455
1B	Cluster_17325|Contig1|original@107	50.2045454545455
1B	Cluster_17686|Contig1|original@410	50.2045454545455
1B	Cluster_20646|Contig1|complementarySeq@1902	50.2045454545455
1B	Cluster_2144|Contig1|original@2082	50.2045454545455
1B	Cluster_23451|Contig1|original@575	50.2045454545455
1B	Cluster_2656|Contig2|original@666	50.2045454545455
1B	Cluster_2796|Contig1|complementarySeq@814	50.2045454545455
1B	Cluster_3109|Contig2|likelySeq@157	50.2045454545455
1B	Cluster_4877|Contig2|original@135	50.295
1B	Cluster_13304|Contig1|original@1111	50.295
1B	Cluster_2991|Contig2|likelySeq@529	50.295
1B	Cluster_7961|Contig2|original@231	50.3052631578947
1B	Cluster_6159|Contig2|likelySeq@972	50.3190476190476
1B	Cluster_8651|Contig2|original@171	50.35
1B	Cluster_10576|Contig1|likelySeq@870	50.392
1B	Cluster_21312|Contig1|original@460	50.42
1B	Cluster_724|Contig2|original@777	50.4333333333333
1B	Cluster_14600|Contig1|original@1407	50.5545454545455
1B	Cluster_6159|Contig2|likelySeq@237	50.64375
1B	Cluster_4805|Contig5|original@150	50.64375
1B	Cluster_7111|Contig10|original@500	50.64375
1B	Cluster_7344|Contig2|original@1267	50.64375
1B	Cluster_7932|Contig3|original@1358	50.64375
1B	Cluster_9379|Contig1|original@354	50.64375
1B	Cluster_9379|Contig3|original@1838	50.64375
1B	Cluster_14|Contig1420|complementarySeq@1025	50.64375
1B	Cluster_14|Contig2488|likelySeq@263	50.64375
1B	Cluster_14|Contig2488|complementarySeq@451	50.64375
1B	Cluster_2404|Contig1|original@331	50.64375
1B	Cluster_259|Contig19|original@281	50.64375
1B	Cluster_7538|Contig4|likelySeq@374	50.86
1B	Cluster_8476|Contig4|original@988	50.86
1B	Cluster_16489|Contig1|original@394	50.86
1B	Cluster_21312|Contig1|original@529	50.86
1B	Cluster_22817|Contig2|original@186	50.86
1B	Cluster_8600|Contig1|complementarySeq@1089	50.9714285714286
1B	Cluster_11384|Contig1|likelySeq@311	51.1071428571429
1B	Cluster_13093|Contig2|original@182	51.1071428571429
1B	Cluster_7014|Contig1|likelySeq@2761	51.2
1B	Cluster_9234|Contig1|likelySeq@760	51.2
1B	Cluster_1225|Contig1|complementarySeq@305	51.6
1B	Cluster_4160|Contig1|original@1066	51.6
1B	Cluster_1122|Contig1|likelySeq@1619	52.4
1B	Cluster_11858|Contig2|original@372	52.4
1B	Cluster_21057|Contig1|likelySeq@421	52.4
1B	Cluster_4781|Contig1|complementarySeq@475	52.4
1B	Cluster_6019|Contig1|original@2083	52.4
1B	Cluster_6159|Contig1|original@487	52.4
1B	Cluster_8333|Contig1|original@242	52.4
1B	Cluster_2656|Contig2|original@938	52.8
1B	Cluster_2710|Contig1|original@913	52.8
1B	Cluster_3720|Contig1|complementarySeq@1234	52.8
1B	Cluster_9675|Contig1|likelySeq@1802	52.8
1B	Cluster_9838|Contig1|complementarySeq@790	52.8
1B	Cluster_10549|Contig2|original@1150	52.8
1B	Cluster_3642|Contig3|original@2076	53.9
1B	Cluster_4328|Contig2|original@1721	53.9
1B	Cluster_8464|Contig1|complementarySeq@782	55.5
1B	Cluster_4031|Contig2|original@887	59.1
1B	Cluster_5042|Contig3|original@753	59.1
1B	Cluster_6129|Contig1|original@862	59.1
1B	Cluster_13685|Contig1|likelySeq@373	60.6
1B	Cluster_199|Contig1|original@435	60.6
1B	Cluster_1553|Contig3|original@1405	61.1285714285714
1B	Cluster_4031|Contig2|original@1116	61.1285714285714
1B	Cluster_6191|Contig3|original@506	61.1285714285714
1B	Cluster_1553|Contig1|original@1501	61.1285714285714
1B	Cluster_1553|Contig1|original@1543	61.1285714285714
1B	Cluster_12508|Contig1|likelySeq@201	61.4
1B	Cluster_1553|Contig1|original@1334	61.4
1B	Cluster_2605|Contig1|original@1266	61.4
1B	Cluster_2605|Contig2|original@1505	61.4
1B	Cluster_26218|Contig1|likelySeq@222	61.4
1B	Cluster_3881|Contig1|original@351	61.4
1B	Cluster_7719|Contig1|complementarySeq@318	61.4
1B	Cluster_6129|Contig1|original@362	61.63
1B	Cluster_1229|Contig10|complementarySeq@843	61.6555555555556
1B	Cluster_13887|Contig1|original@320	61.8
1B	Cluster_15509|Contig1|original@1088	61.8
1B	Cluster_127|Contig1|original@135	64.1
1B	Cluster_13753|Contig2|likelySeq@494	64.1
1B	Cluster_3095|Contig2|original@1299	64.1
1B	Cluster_10023|Contig2|complementarySeq@1021	64.5
1B	Cluster_4296|Contig4|likelySeq@748	64.95
1B	Cluster_771|Contig3|original@3030	64.95
1B	Cluster_5938|Contig1|likelySeq@236	65.4
1B	Cluster_11613|Contig2|likelySeq@665	65.4
1B	Cluster_14|Contig1641|original@2098	65.4
1B	Cluster_10456|Contig1|original@317	66.4
1B	Cluster_21684|Contig2|original@191	66.8
1B	Cluster_5913|Contig1|likelySeq@349	66.8
1B	Cluster_5913|Contig1|complementarySeq@349	66.8
1B	Cluster_6041|Contig2|original@1595	67.2666666666667
1B	Cluster_3694|Contig1|original@525	67.5
1B	Cluster_3982|Contig1|likelySeq@265	67.5
1B	Cluster_4893|Contig2|likelySeq@1066	67.5
1B	Cluster_6164|Contig1|original@975	67.5
1B	Cluster_4585|Contig2|likelySeq@1777	68.5
1B	Cluster_1342|Contig2|complementarySeq@169	73.9
1B	Cluster_1342|Contig2|likelySeq@169	73.9
1B	Cluster_1500|Contig2|original@114	73.9
1B	Cluster_16026|Contig3|original@323	73.9
1B	Cluster_1622|Contig4|original@98	73.9
1B	Cluster_426|Contig3|complementarySeq@1791	73.9
1B	Cluster_4659|Contig3|original@315	73.9
1B	Cluster_501|Contig1|likelySeq@373	73.9
1B	Cluster_6423|Contig1|likelySeq@4049	73.9
1B	Cluster_8215|Contig2|original@1125	73.9
1B	Cluster_8879|Contig1|likelySeq@859	73.9
1B	Cluster_8881|Contig2|original@2420	73.9
1B	Cluster_10482|Contig3|original@302	73.9
1B	Cluster_10482|Contig2|original@248	73.9
1B	Cluster_4253|Contig4|original@1978	73.9
1B	Cluster_4253|Contig7|original@1930	73.9
1B	Cluster_4253|Contig10|original@3413	73.9
1B	Cluster_426|Contig2|likelySeq@917	73.9
1B	Cluster_426|Contig3|likelySeq@2812	73.9
1B	Cluster_5349|Contig1|likelySeq@423	73.9
1B	Cluster_6423|Contig1|complementarySeq@3485	73.9
1B	Cluster_20375|Contig1|original@699	73.9
1B	Cluster_21108|Contig1|original@333	73.9
1B	Cluster_2827|Contig3|likelySeq@1117	73.9
1B	Cluster_2942|Contig7|original@1001	73.9
1B	Cluster_4253|Contig6|original@4986	74.0454545454545
1B	Cluster_6397|Contig2|complementarySeq@218	74.0454545454545
1B	Cluster_1218|Contig6|original@186	74.0454545454545
1B	Cluster_1622|Contig1|original@439	74.0454545454545
1B	Cluster_1037|Contig1|likelySeq@367	75.5
1B	Cluster_12564|Contig1|less_than_5_individuals|original@159	75.5
1B	Cluster_14266|Contig1|original@382	75.5
1B	Cluster_7241|Contig2|original@333	75.5
1B	Cluster_10145|Contig1|original@231	75.8
1B	Cluster_2338|Contig1|original@506	75.8
1B	Cluster_6905|Contig1|likelySeq@4226	75.8
1B	Cluster_1706|Contig1|original@127	76.2
1B	Cluster_2839|Contig2|complementarySeq@643	76.5416666666667
1B	Cluster_14|Contig912|original@809	76.65
1B	Cluster_539|Contig1|original@476	77.07
1B	Cluster_2519|Contig2|original@781	77.3
1B	Cluster_6905|Contig1|likelySeq@308	77.4357142857143
1B	Cluster_6397|Contig1|original@110	77.4481481481481
1B	Cluster_9133|Contig4|original@963	77.6076923076923
1B	Cluster_1952|Contig2|original@866	77.6076923076923
1B	Cluster_6397|Contig1|original@164	77.7047619047619
1B	Cluster_1952|Contig4|original@806	77.8904761904762
1B	Cluster_13520|Contig1|original@956	77.8904761904762
1B	Cluster_2942|Contig8|original@2662	77.895
1B	Cluster_7074|Contig4|original@221	78.53
1B	Cluster_1884|Contig1|likelySeq@956	78.5555555555556
1B	Cluster_9103|Contig1|original@832	78.9375
1B	Cluster_1347|Contig1|original@1330	79.0285714285714
1B	Cluster_7040|Contig1|complementarySeq@276	79.0444444444445
1B	Cluster_10224|Contig1|complementarySeq@116	79.0444444444445
1B	Cluster_2338|Contig1|original@325	79.1833333333333
1B	Cluster_7135|Contig1|original@322	79.4230769230769
1B	Cluster_1952|Contig1|original@2583	79.7
1B	Cluster_5611|Contig3|original@236	79.7
1B	Cluster_7096|Contig1|original@797	79.7
1B	Cluster_1347|Contig1|original@1465	79.7
1B	Cluster_2765|Contig4|original@1398	79.7928571428571
1B	Cluster_3672|Contig1|original@249	79.88
1B	Cluster_9973|Contig1|original@753	80.1
1B	Cluster_3331|Contig2|original@253	80.1090909090909
1B	Cluster_10272|Contig1|likelySeq@240	80.3333333333333
1B	Cluster_1359|Contig14|likelySeq@172	80.3333333333333
1B	Cluster_9154|Contig1|complementarySeq@1605	81.2
1B	Cluster_8722|Contig1|complementarySeq@602	81.425
1B	Cluster_2570|Contig3|original@387	81.725
1B	Cluster_6507|Contig2|complementarySeq@418	84.4375
1B	Cluster_1509|Contig2|original@120	84.7
1B	Cluster_2844|Contig2|original@592	84.7
1B	Cluster_6507|Contig1|complementarySeq@1020	84.7
1B	Cluster_6507|Contig2|complementarySeq@1077	84.7
1B	Cluster_8934|Contig1|original@469	84.7
1B	Cluster_6310|Contig2|original@556	84.7
1B	Cluster_6938|Contig1|original@884	85.1
1B	Cluster_1852|Contig2|original@658	85.2714285714286
1B	Cluster_11832|Contig1|likelySeq@1937	85.9
1B	Cluster_2164|Contig2|original@310	85.9
1B	Cluster_2381|Contig2|original@370	85.9
1B	Cluster_2616|Contig2|original@1452	85.9
1B	Cluster_305|Contig2|complementarySeq@177	85.9
1B	Cluster_7376|Contig1|original@807	85.9
1B	Cluster_2164|Contig1|original@360	85.95
1B	Cluster_9846|Contig1|original@979	86.1
1B	Cluster_8944|Contig2|complementarySeq@580	86.2
1B	Cluster_7989|Contig1|likelySeq@238	86.7
1B	Cluster_1124|Contig3|original@2064	88.2
1B	Cluster_11421|Contig1|complementarySeq@3084	88.2
1B	Cluster_5815|Contig5|complementarySeq@284	88.2
1B	Cluster_8170|Contig1|complementarySeq@701	88.2
1B	Cluster_9298|Contig3|original@279	88.2
1B	cluster_singlet|EPO_083_2010584381856|original@217	88.2
1B	Cluster_6704|Contig2|original@443	88.2
1B	Cluster_200|Contig9|complementarySeq@1498	88.2
