group	marker	position
1A	Cluster_73|Contig3|likelySeq@675	70.1
1A	Cluster_73|Contig4|likelySeq@729	70.1
1A	Cluster_73|Contig5|likelySeq@1874	70.1
1A	Cluster_11774|Contig1|original@336	71.3
1A	Cluster_9602|Contig2|complementarySeq@183	71.3
1A	Cluster_9602|Contig2|likelySeq@1685	71.3
1A	Cluster_3674|Contig1|likelySeq@604	72.2
1A	Cluster_4986|Contig1|likelySeq@2249	72.2
1A	Cluster_4986|Contig2|likelySeq@2279	72.2
1A	Cluster_421|Contig1|likelySeq@419	73.9
1A	Cluster_8492|Contig1|original@1559	73.9
1A	Cluster_6972|Contig1|original@215	76.4
1A	Cluster_10023|Contig1|complementarySeq@191	77.2
1A	Cluster_10023|Contig1|likelySeq@1440	77.2
1A	Cluster_10023|Contig2|likelySeq@1450	77.2
1A	Cluster_11613|Contig2|complementarySeq@252	77.2
1A	Cluster_1229|Contig10|likelySeq@1670	77.2
1A	Cluster_1282|Contig1|likelySeq@213	77.2
1A	Cluster_1291|Contig1|original@130	77.2
1A	Cluster_13450|Contig1|original@427	77.2
1A	Cluster_16874|Contig1|original@424	77.2
1A	Cluster_2182|Contig4|complementarySeq@162	77.2
1A	Cluster_2182|Contig4|likelySeq@1831	77.2
1A	Cluster_2497|Contig2|original@94	77.2
1A	Cluster_3052|Contig1|original@309	77.2
1A	Cluster_3095|Contig1|original@877	77.2
1A	Cluster_3568|Contig2|original@237	77.2
1A	Cluster_4086|Contig1|complementarySeq@1531	77.2
1A	Cluster_4296|Contig1|original@277	77.2
1A	Cluster_4296|Contig2|original@200	77.2
1A	Cluster_4296|Contig3|original@622	77.2
1A	Cluster_4296|Contig4|complementarySeq@995	77.2
1A	Cluster_5224|Contig1|likelySeq@1433	77.2
1A	Cluster_5679|Contig2|original@447	77.2
1A	Cluster_5679|Contig5|original@254	77.2
1A	Cluster_5779|Contig1|original@1093	77.2
1A	Cluster_5779|Contig2|original@360	77.2
1A	Cluster_5916|Contig3|original@602	77.2
1A	Cluster_5948|Contig1|likelySeq@1090	77.2
1A	Cluster_6320|Contig1|original@614	77.2
1A	Cluster_6320|Contig2|original@1550	77.2
1A	Cluster_746|Contig1|original@1488	77.2
1A	Cluster_746|Contig2|original@271	77.2
1A	Cluster_771|Contig1|original@2048	77.2
1A	Cluster_771|Contig2|original@787	77.2
1A	Cluster_771|Contig2|original@941	77.2
1A	Cluster_8450|Contig1|likelySeq@420	77.2
1A	Cluster_8636|Contig2|original@659	77.2
1A	Cluster_890|Contig4|original@1273	77.2
1A	Cluster_9893|Contig1|likelySeq@343	77.2
1A	Cluster_8159|Contig1|original@1217	77.8
1A	Cluster_8159|Contig2|original@549	77.8
1A	Cluster_9893|Contig1|complementarySeq@343	77.8
1A	Cluster_6560|Contig2|likelySeq@283	78.6
1A	Cluster_922|Contig2|complementarySeq@701	78.6
1A	Cluster_5679|Contig7|original@505	79.2
1A	Traes_1AL_4720305AC@513	79.2
1A	Cluster_4737|Contig2|likelySeq@938	79.6
1A	Cluster_11776|Contig2|original@740	80.3
1A	Cluster_5913|Contig2|original@230	80.3
1A	Cluster_2520|Contig1|complementarySeq@1354	81.4
1A	Cluster_452|Contig1|complementarySeq@847	81.4
1A	Cluster_15331|Contig1|original@469	81.7
1A	Cluster_8754|Contig2|likelySeq@110	81.7
1A	Cluster_11438|Contig1|original@915	82
1A	Cluster_12678|Contig1|complementarySeq@1936	82
1A	Cluster_12678|Contig1|complementarySeq@2210	82
1A	Cluster_21684|Contig1|original@489	82
1A	Cluster_7614|Contig1|complementarySeq@475	82
1A	Cluster_8789|Contig1|original@1631	82
1A	cluster_singlet|EPO_076_16661512463640555557+,...,36999+|complementarySeq@282	82
1A	Cluster_7614|Contig2|complementarySeq@207	82.7
1A	Cluster_3982|Contig1|complementarySeq@265	83
1A	Cluster_1023|Contig2|original@157	83.4
1A	Cluster_3694|Contig4|original@492	83.4
1A	Cluster_1023|Contig2|original@244	84
1A	Cluster_4893|Contig1|complementarySeq@160	84
1A	Cluster_4893|Contig1|likelySeq@160	84
1A	Cluster_9432|Contig1|complementarySeq@1073	84
1A	Cluster_1257|Contig1|original@2535	85
1A	Cluster_1257|Contig2|original@1306	85
1A	Cluster_6467|Contig2|original@252	85
1A	Cluster_2827|Contig3|complementarySeq@1859	86.2
1A	Cluster_4370|Contig1|complementarySeq@1155	90.2
1A	Cluster_8215|Contig1|original@142	90.2
1A	Cluster_1622|Contig2|original@1252	90.6
1A	Cluster_19033|Contig1|original@240	90.6
1A	Cluster_4253|Contig13|original@2170	90.6
1A	Cluster_4253|Contig14|original@2128	90.6
1A	Cluster_4253|Contig1|original@5991	90.6
1A	Cluster_4253|Contig5|original@2097	90.6
1A	Cluster_8215|Contig1|original@308	90.6
1A	Cluster_10350|Contig1|likelySeq@1018	91
1A	Cluster_1218|Contig19|original@102	91
1A	Cluster_1218|Contig23|original@104	91
1A	Cluster_426|Contig2|complementarySeq@1319	91
1A	Cluster_6423|Contig1|likelySeq@1055	91
1A	Cluster_17028|Contig1|likelySeq@1071	91.6
1A	Cluster_2036|Contig1|complementarySeq@994	92.1
1A	Cluster_6397|Contig2|complementarySeq@1039	92.1
1A	Cluster_6397|Contig2|likelySeq@1039	92.1
1A	Cluster_1977|Contig2|original@438	92.4
1A	Cluster_2719|Contig16|original@1118	93
1A	Cluster_1884|Contig1|complementarySeq@666	94.2
1A	Cluster_2935|Contig1|complementarySeq@1374	94.2
1A	Cluster_2935|Contig2|complementarySeq@295	94.2
1A	Cluster_575|Contig5|likelySeq@3077	94.2
1A	Cluster_5853|Contig2|original@530	94.2
1A	Cluster_5853|Contig5|original@544	94.2
1A	Cluster_6771|Contig2|original@779	94.8
1A	Cluster_19461|Contig3|original@106	97.7
1A	Cluster_19461|Contig3|original@679	97.7
1A	Cluster_2517|Contig1|complementarySeq@538	97.7
1A	Cluster_9655|Contig3|original@2300	97.7
1A	Cluster_1138|Contig25|original@559	98.6
1A	Cluster_2260|Contig1|original@3566	98.6
1A	Cluster_2260|Contig2|original@296	98.6
1A	Cluster_2260|Contig3|original@3736	98.6
1A	Cluster_2260|Contig6|original@3704	98.6
1A	Cluster_2810|Contig1|original@452	98.6
1A	Cluster_3611|Contig2|complementarySeq@143	98.6
1A	Cluster_3611|Contig2|likelySeq@143	98.6
1A	Cluster_688|Contig1|complementarySeq@579	98.6
1A	Cluster_7691|Contig1|complementarySeq@605	98.6
1A	Cluster_7505|Contig2|original@1212	99
1A	Cluster_9103|Contig2|original@850	105.5
1A	Cluster_9208|Contig1|original@1858	106.5
1A	Cluster_9208|Contig2|original@1873	106.5
1A	Cluster_9208|Contig4|original@1866	106.5
1A	Cluster_9208|Contig5|original@1862	106.5
1A	Cluster_1750|Contig1|complementarySeq@697	113.2
1A	Cluster_2765|Contig1|original@1321	113.2
1A	Cluster_2765|Contig2|original@585	113.2
1A	Cluster_305|Contig1|complementarySeq@142	113.5
1A	Cluster_7376|Contig2|original@115	113.5
1A	Cluster_1852|Contig1|original@623	114.4
1A	Cluster_4776|Contig1|original@180	116
1A	Cluster_9846|Contig2|original@216	116
1A	Cluster_9846|Contig3|original@790	116
1A	Cluster_1227|Contig1|original@243	116.9
1A	Cluster_4607|Contig2|original@113	116.9
1A	Cluster_8141|Contig2|original@119	116.9
1A	Cluster_8141|Contig4|original@153	116.9
1A	Cluster_18789|Contig2|original@144	117.3
1A	Cluster_4152|Contig1|original@2537	117.8
1A	Cluster_1124|Contig3|original@1429	118.7
1A	Cluster_1124|Contig4|original@285	118.7
1A	Cluster_11421|Contig1|likelySeq@4086	118.7
1A	Cluster_15737|Contig3|original@252	118.7
1A	Cluster_200|Contig15|complementarySeq@1819	118.7
1A	Cluster_200|Contig9|likelySeq@1476	118.7
1A	Cluster_2748|Contig5|likelySeq@848	118.7
1A	Cluster_34460|Contig1|less_than_5_individuals|original@145	118.7
1A	Cluster_3624|Contig8|original@1271	118.7
1A	Cluster_4930|Contig2|complementarySeq@154	118.7
1A	Cluster_4930|Contig2|likelySeq@154	118.7
1A	Cluster_9129|Contig1|likelySeq@120	118.7
1A	Cluster_9516|Contig1|complementarySeq@220	118.7
1A	Cluster_9298|Contig4|original@401	119
1A	Cluster_18376|Contig1|original@1551	120.9
1A	Cluster_3065|Contig1|original@85	122.1
1A	Cluster_3065|Contig2|complementarySeq@576	122.1
1A	Cluster_7517|Contig3|original@781	123
1A	Cluster_7517|Contig5|original@748	123
1A	Cluster_7589|Contig1|likelySeq@330	126.3
1A	Cluster_7589|Contig2|likelySeq@259	126.3
1A	Cluster_1271|Contig3|original@69	126.9
1A	Cluster_424|Contig2|original@792	128.7
1A	Cluster_424|Contig5|original@4018	128.7
1A	Cluster_424|Contig7|original@4034	128.7
1A	Traes_1AL_C234E74C5@1317	128.7
1A	Cluster_10416|Contig1|original@242	132
1A	Cluster_10416|Contig1|original@369	132
1A	Cluster_23030|Contig1|original@58	132
1A	Cluster_24121|Contig1|original@126	132
1A	Cluster_24558|Contig1|original@65	132
1A	Cluster_3471|Contig10|original@231	132
1A	Cluster_9194|Contig8|original@191	132
1A	Cluster_5372|Contig2|original@234	132.2
1A	Cluster_1406|Contig2|original@89	132.6
1A	Cluster_4129|Contig4|original@1849	133.9
1A	Cluster_5926|Contig3|original@1418	133.9
1A	Cluster_2779|Contig1|complementarySeq@1197	136.3
1A	Cluster_2779|Contig1|likelySeq@1167	136.3
1A	Cluster_2955|Contig4|original@489	136.6
1A	Cluster_2955|Contig6|original@3865	136.6
1A	Cluster_5409|Contig3|original@1992	139.5
1A	Cluster_9466|Contig3|original@549	140.7
1A	Cluster_9466|Contig4|original@927	140.7
1A	Cluster_11827|Contig2|original@1250	141
1A	Cluster_11827|Contig3|original@152	141
1A	Cluster_5798|Contig1|complementarySeq@1276	143.1
1A	Cluster_15900|Contig1|complementarySeq@312	143.8
1A	Cluster_15900|Contig1|likelySeq@312	143.8
1A	Cluster_4386|Contig1|complementarySeq@119	144.7
1A	Cluster_4386|Contig2|complementarySeq@115	144.7
1A	Cluster_1027|Contig1|complementarySeq@1709	145.6
1A	Cluster_1027|Contig1|likelySeq@1709	145.6
1A	Cluster_16982|Contig4|original@562	145.6
1A	Cluster_3223|Contig1|original@348	145.6
1A	Cluster_2304|Contig1|likelySeq@2546	146
1A	Cluster_8315|Contig1|likelySeq@1838	147.9
1A	Cluster_3036|Contig2|original@375	150.3
1A	Cluster_3775|Contig1|original@334	150.3
1A	Cluster_739|Contig2|original@168	150.3
1A	Cluster_956|Contig4|original@221	152.4
1A	Cluster_4833|Contig3|original@1882	154.4
1A	Cluster_8898|Contig3|original@571	154.4
1A	Traes_1AL_0C964B45F@417	156.3
1A	Cluster_11760|Contig1|original@424	158.1
1A	Cluster_1439|Contig2|original@1458	158.1
1A	Cluster_11794|Contig1|complementarySeq@1025	159.5
1A	Cluster_236|Contig2|complementarySeq@204	159.5
1A	Cluster_236|Contig4|complementarySeq@85	159.5
1A	Cluster_236|Contig4|likelySeq@85	159.5
1A	Cluster_3118|Contig1|complementarySeq@257	159.5
1A	Cluster_3118|Contig1|likelySeq@257	159.5
1A	Cluster_3892|Contig1|complementarySeq@687	159.5
1A	Cluster_16707|Contig1|likelySeq@316	160.1
1A	Cluster_16707|Contig1|likelySeq@830	160.1
1A	Cluster_705|Contig1|original@1990	161
1A	Cluster_705|Contig3|original@419	161
1A	Cluster_8470|Contig1|complementarySeq@95	161
1A	Traes_1AL_5E4EECFBC@813	161.3
1A	Cluster_12819|Contig1|original@414	163.8
1A	Cluster_14|Contig2207|complementarySeq@397	163.8
1A	Cluster_405|Contig1|original@726	163.8
1A	Cluster_8335|Contig2|original@187	163.8
1A	Cluster_10012|Contig14|original@963	165.7
1A	Cluster_10012|Contig5|original@250	165.7
1A	Cluster_8969|Contig1|complementarySeq@460	165.7
1A	Cluster_3896|Contig1|likelySeq@795	166.9
1A	Cluster_3896|Contig3|likelySeq@359	166.9
1A	Cluster_1488|Contig1|likelySeq@1110	170.5
1A	Cluster_1488|Contig2|original@738	170.5
1A	Cluster_1488|Contig3|original@1248	170.5
1A	Cluster_1488|Contig4|original@978	170.5
1A	Cluster_16987|Contig1|likelySeq@372	176.6
1A	Cluster_9889|Contig2|original@227	178.8
1A	Cluster_1845|Contig2|likelySeq@886	179.5
1A	Cluster_9241|Contig1|complementarySeq@274	184
1A	Cluster_9241|Contig1|likelySeq@274	184
1A	Cluster_4316|Contig1|complementarySeq@688	186.5
1A	Cluster_1827|Contig2|original@794	188.1
1A	Cluster_6542|Contig2|original@355	188.1
1A	Cluster_5813|Contig1|original@794	188.4
1A	Cluster_5813|Contig2|original@343	188.4
1A	Cluster_1455|Contig1|original@2368	188.7
1A	Cluster_1455|Contig3|original@976	188.7
1A	Cluster_1455|Contig4|original@957	188.7
1A	Cluster_1455|Contig5|original@985	188.7
1A	Cluster_1455|Contig6|original@2353	188.7
1A	Cluster_1455|Contig7|original@312	188.7
1A	Cluster_1455|Contig8|original@947	188.7
1A	Cluster_1455|Contig9|original@2341	188.7
1A	Cluster_15568|Contig1|original@418	188.7
1A	Cluster_17765|Contig1|original@232	188.7
1A	Cluster_3807|Contig1|original@921	188.7
1A	Cluster_66|Contig11|original@261	188.7
1A	cluster_singlet|EPO_049_22308764042941158562+,136279-|original@151	188.7
1A	cluster_singlet|EPO_057_27096652412517192880+,227192-|original@121	188.7
1A	Cluster_1181|Contig4|original@836	197.2
1A	Traes_1AL_30C4B017F@558	201
1A	Cluster_3963|Contig1|complementarySeq@206	202.9
1A	Cluster_3963|Contig1|likelySeq@206	202.9
1A	Cluster_1487|Contig1|original@318	203.6
1A	Cluster_10392|Contig1|original@552	204.3
1A	Cluster_9072|Contig2|original@1041	206.2
1A	Cluster_10421|Contig1|complementarySeq@1450	209.5
1A	Cluster_10421|Contig1|likelySeq@1700	209.5
1A	Cluster_10421|Contig2|original@392	209.5
1A	Cluster_2756|Contig6|original@353	210.4
1A	Cluster_6575|Contig2|original@669	211.6
1A	Cluster_12438|Contig1|original@989	212
1A	Cluster_12438|Contig3|original@366	212
1A	Cluster_4092|Contig2|original@1800	212.6
1A	Cluster_637|Contig2|original@1487	212.6
1A	Cluster_4956|Contig2|original@1317	214.9
1A	Cluster_6985|Contig2|original@422	214.9
1A	Cluster_5285|Contig3|original@1389	216.1
1A	Cluster_5461|Contig2|original@414	216.1
1A	Cluster_5461|Contig3|original@1961	216.1
1A	Cluster_6727|Contig2|original@248	216.1
1A	Cluster_1120|Contig1|complementarySeq@2343	220.8
1A	Cluster_1120|Contig1|likelySeq@2343	220.8
1A	Cluster_1120|Contig2|original@171	220.8
1A	Cluster_621|Contig3|original@1376	221.5
1A	Cluster_8733|Contig2|original@1403	221.5
1A	Cluster_13259|Contig4|original@1289	223.8
1A	Cluster_1657|Contig3|original@834	223.8
1A	Cluster_7535|Contig1|original@1613	223.8
1A	Cluster_12142|Contig1|original@1904	224.5
1A	Cluster_2726|Contig3|original@186	224.5
1A	Cluster_6109|Contig2|original@148	224.5
1A	Cluster_6109|Contig5|original@168	224.5
1A	Cluster_1204|Contig6|original@249	226.7
1A	Cluster_1204|Contig8|original@334	226.7
1A	Cluster_5089|Contig1|original@1264	232.1
1A	Cluster_5089|Contig1|original@485	232.1
1A	Cluster_4041|Contig1|original@330	234.4
1A	Cluster_4041|Contig1|original@655	234.9
1A	Cluster_5040|Contig1|original@1437	235.6
1A	Cluster_6680|Contig3|original@343	235.6
1A	Cluster_455|Contig4|original@1346	236.2
1A	Cluster_1549|Contig4|original@484	239.6
1A	Cluster_485|Contig2|original@342	239.6
1B	Cluster_1386|Contig4|original@440	0
1B	Cluster_7051|Contig1|original@1233	1.10000000000002
1B	Cluster_5094|Contig3|original@1012	4
1B	Cluster_65|Contig2|original@983	4
1B	Cluster_9156|Contig1|original@1264	4
1B	Cluster_9156|Contig2|original@396	4
1B	Cluster_280|Contig29|likelySeq@1207	5.30000000000001
1B	Cluster_6379|Contig1|original@124	5.30000000000001
1B	Cluster_9277|Contig1|complementarySeq@143	5.30000000000001
1B	Cluster_9687|Contig3|original@1081	5.30000000000001
1B	cluster_singlet|EPO_068_2557381727139284242905-,...,238760+|original@1458	5.30000000000001
1B	Cluster_1213|Contig2|original@2437	7.80000000000001
1B	Cluster_1742|Contig11|original@4069	10
1B	Cluster_1742|Contig13|original@320	10
1B	Cluster_1742|Contig5|original@320	10
1B	Cluster_1742|Contig7|original@310	10
1B	Cluster_1742|Contig8|original@314	10
1B	Cluster_19130|Contig1|original@438	10
1B	Cluster_3593|Contig4|original@912	10
1B	cluster_singlet|EPO_078_25101743696944235667+,247331-,183430-|original@4061	10
1B	Cluster_1910|Contig2|original@481	10.9
1B	Cluster_3434|Contig3|original@138	11.5
1B	Cluster_11076|Contig2|original@796	12
1B	Cluster_6832|Contig1|likelySeq@344	12.4
1B	Cluster_6832|Contig2|original@532	12.4
1B	Cluster_14274|Contig2|original@405	14.3
1B	Cluster_11544|Contig3|likelySeq@1196	16.4
1B	Cluster_2916|Contig4|original@933	16.8
1B	Cluster_4696|Contig3|original@1195	17.1
1B	Cluster_774|Contig1|original@269	17.1
1B	Cluster_10277|Contig1|original@251	17.7
1B	Traes_1BS_282862C32@305	19.1
1B	Cluster_16405|Contig1|original@421	20.2
1B	Cluster_7708|Contig1|original@1399	21.1
1B	Cluster_7708|Contig2|original@1072	21.1
1B	Cluster_7708|Contig4|original@1154	21.1
1B	Cluster_10114|Contig4|likelySeq@512	23.1
1B	Cluster_8368|Contig2|original@730	23.9
1B	Cluster_3326|Contig2|original@392	24.2
1B	Cluster_3509|Contig1|complementarySeq@125	24.8
1B	Cluster_3509|Contig1|likelySeq@125	25.1
1B	Cluster_16366|Contig2|original@263	26.3
1B	Cluster_3509|Contig1|complementarySeq@291	26.3
1B	Cluster_9119|Contig4|original@1095	29.7
1B	Cluster_6179|Contig3|original@85	30.8
1B	Cluster_5602|Contig1|original@1030	32
1B	Cluster_5602|Contig1|original@590	32
1B	Cluster_14759|Contig3|original@135	40.5
1B	Cluster_14759|Contig3|original@366	40.5
1B	Cluster_2587|Contig3|original@1952	40.5
1B	Cluster_4399|Contig2|complementarySeq@359	41.4
1B	Cluster_7175|Contig3|original@350	41.4
1B	Cluster_7175|Contig5|original@604	41.4
1B	Cluster_7175|Contig6|original@604	41.4
1B	Cluster_7175|Contig7|original@467	41.4
1B	Cluster_13489|Contig1|likelySeq@455	41.7
1B	Cluster_1688|Contig1|complementarySeq@1074	41.7
1B	Cluster_1688|Contig1|likelySeq@1732	41.7
1B	Cluster_1688|Contig3|original@2076	41.7
1B	Cluster_1688|Contig4|original@990	41.7
1B	Cluster_5827|Contig1|original@2245	41.7
1B	Cluster_16856|Contig1|complementarySeq@551	42.9
1B	Cluster_31|Contig4|original@503	42.9
1B	Cluster_1590|Contig4|original@190	44.4
1B	Cluster_1590|Contig5|original@245	44.4
1B	Cluster_879|Contig2|original@2252	47
1B	Cluster_10488|Contig3|original@716	47.4
1B	Cluster_11723|Contig2|likelySeq@538	47.4
1B	Cluster_5833|Contig6|complementarySeq@170	47.4
1B	Cluster_9574|Contig2|original@847	47.4
1B	Cluster_1252|Contig5|original@781	50.1
1B	Cluster_13329|Contig1|likelySeq@1212	51.7
1B	Cluster_8476|Contig4|original@988	63.4
1B	Cluster_11384|Contig1|likelySeq@311	63.7
1B	Cluster_22817|Contig2|original@186	63.7
1B	Cluster_7436|Contig1|original@251	63.7
1B	Cluster_7538|Contig3|complementarySeq@494	63.7
1B	Cluster_7538|Contig4|likelySeq@374	63.7
1B	Cluster_8476|Contig2|original@936	63.7
1B	Cluster_4877|Contig2|original@1098	64
1B	Cluster_4877|Contig2|original@135	64
1B	Cluster_4877|Contig3|original@768	64
1B	Cluster_4877|Contig4|original@1006	64
1B	Cluster_4938|Contig3|original@2714	64
1B	Cluster_4938|Contig4|original@745	64
1B	Cluster_8986|Contig1|original@247	64
1B	Cluster_259|Contig19|original@281	64.3
1B	Cluster_259|Contig36|original@529	64.3
1B	Cluster_8600|Contig1|complementarySeq@1089	64.3
1B	Cluster_9379|Contig3|original@1838	64.3
1B	Cluster_2971|Contig4|original@1634	64.9
1B	Cluster_15836|Contig2|original@581	65.5
1B	Cluster_16489|Contig1|original@327	65.5
1B	Cluster_19462|Contig5|original@1894	65.5
1B	Cluster_20646|Contig1|complementarySeq@1902	65.5
1B	Cluster_2971|Contig2|original@302	65.5
1B	Cluster_3109|Contig2|complementarySeq@779	65.5
1B	Cluster_3109|Contig2|likelySeq@157	65.5
1B	Cluster_4805|Contig2|original@2028	65.5
1B	Cluster_4805|Contig5|original@150	65.5
1B	Cluster_6152|Contig2|original@277	65.5
1B	Cluster_7417|Contig2|complementarySeq@525	65.5
1B	Cluster_7932|Contig2|original@255	65.5
1B	Cluster_7932|Contig3|original@1358	65.5
1B	Cluster_10576|Contig1|likelySeq@870	65.8
1B	Cluster_2404|Contig1|original@331	65.8
1B	Cluster_2404|Contig1|original@470	65.8
1B	Cluster_2971|Contig6|original@396	65.8
1B	Cluster_4811|Contig2|original@3275	65.8
1B	Cluster_8032|Contig1|original@2617	65.8
1B	Cluster_9379|Contig1|original@187	65.8
1B	Cluster_11149|Contig1|complementarySeq@608	66.4
1B	Cluster_12609|Contig2|complementarySeq@2100	66.4
1B	Cluster_12609|Contig2|likelySeq@1057	66.4
1B	Cluster_4421|Contig3|original@522	66.4
1B	Cluster_21312|Contig1|original@460	66.8
1B	Cluster_21312|Contig1|original@529	66.8
1B	Cluster_25923|Contig3|original@792	66.8
1B	Cluster_2991|Contig1|likelySeq@528	66.8
1B	Cluster_2991|Contig2|likelySeq@529	66.8
1B	Cluster_724|Contig2|original@783	66.8
1B	Cluster_9901|Contig2|complementarySeq@782	66.8
1B	Cluster_24314|Contig1|original@675	67.2
1B	Cluster_10352|Contig1|likelySeq@106	68.9
1B	Cluster_14600|Contig1|original@1407	68.9
1B	Cluster_14648|Contig1|likelySeq@2214	68.9
1B	Cluster_14|Contig2488|complementarySeq@451	68.9
1B	Cluster_14|Contig2488|likelySeq@263	68.9
1B	Cluster_35727|Contig1|original@285	68.9
1B	Cluster_3666|Contig1|original@1337	68.9
1B	Cluster_3666|Contig2|original@1337	68.9
1B	Cluster_3666|Contig4|original@1227	68.9
1B	Cluster_9276|Contig2|original@194	68.9
1B	Cluster_9735|Contig2|original@990	68.9
1B	Cluster_9770|Contig3|likelySeq@971	68.9
1B	Cluster_1187|Contig1|likelySeq@987	69.2
1B	Cluster_846|Contig22|original@219	70.1
1B	Cluster_9234|Contig1|likelySeq@760	70.1
1B	Cluster_2144|Contig1|original@2082	70.4
1B	Cluster_7014|Contig1|likelySeq@2761	70.4
1B	Cluster_605|Contig1|complementarySeq@375	70.7
1B	Cluster_605|Contig2|likelySeq@1167	70.7
1B	Cluster_21057|Contig1|likelySeq@421	71.6
1B	Cluster_1122|Contig1|likelySeq@1619	71.9
1B	Cluster_11858|Contig2|original@372	71.9
1B	Cluster_1225|Contig1|complementarySeq@305	71.9
1B	Cluster_13093|Contig2|original@182	71.9
1B	Cluster_13304|Contig1|original@1111	71.9
1B	Cluster_1444|Contig13|original@2596	71.9
1B	Cluster_1444|Contig17|original@548	71.9
1B	Cluster_1444|Contig42|original@101	71.9
